country,indicatorType,indicator,unit,year,value
libya,electricity indicators,Total generated electricity,GWh,2016,
libya,electricity indicators,Electricty imports,GWh,2016,
libya,electricity indicators,Electricity exports,GWh,2016,
libya,electricity indicators,Losses,GWh,2016,
libya,electricity indicators,Final electricity consumption,GWh,2016,
libya,electricity indicators,Electricity consumption per capita,kWh,2016,
libya,electricity indicators,Cost of electricity,$/kWh,2016,
libya,electricity indicators,Electricity price,$/kWh,2016,
libya,electricity indicators,Electricity Generation - Crude Oil and Oil Products,%,2016,
libya,electricity indicators,Electricity Generation - Natural Gas,%,2016,
libya,electricity indicators,Electricity Generation - Coal,%,2016,
libya,electricity indicators,Electricity Generation - Nuclear,%,2016,
libya,electricity indicators,Electricity Generation - Renewables,%,2016,
libya,electricity indicators,Electricity Generation - Solar,%,2016,
libya,electricity indicators,Electricity Generation - Wind,%,2016,
libya,electricity indicators,Electricity Generation - Hydropower,%,2016,
libya,electricity indicators,Electricity Generation - Other,%,2016,
libya,electricity indicators,Access to Electricity,%,2015,
libya,electricity indicators,Total installed generation capacity,MW,2015,
libya,electricity indicators,Total generated electricity,GWh,2015,
libya,electricity indicators,Electricty imports,GWh,2015,
libya,electricity indicators,Electricity exports,GWh,2015,
libya,electricity indicators,Losses,GWh,2015,
libya,electricity indicators,Final electricity consumption,GWh,2015,
libya,electricity indicators,Electricity consumption per capita,kWh,2015,
libya,electricity indicators,Cost of electricity,$/kWh,2015,
libya,electricity indicators,Electricity price,$/kWh,2015,
libya,electricity indicators,Electricity Generation - Crude Oil and Oil Products,%,2015,
libya,electricity indicators,Electricity Generation - Natural Gas,%,2015,
libya,electricity indicators,Electricity Generation - Coal,%,2015,
libya,electricity indicators,Electricity Generation - Nuclear,%,2015,
libya,electricity indicators,Electricity Generation - Renewables,%,2015,
libya,electricity indicators,Electricity Generation - Solar,%,2015,
libya,electricity indicators,Electricity Generation - Wind,%,2015,
libya,electricity indicators,Electricity Generation - Hydropower,%,2015,
libya,electricity indicators,Electricity Generation - Other,%,2015,
libya,electricity indicators,Access to Electricity,%,2014,98.4
libya,electricity indicators,Total installed generation capacity,MW,2014,9455
libya,electricity indicators,Total generated electricity,GWh,2014,37731
libya,electricity indicators,Electricty imports,GWh,2014,88
libya,electricity indicators,Electricity exports,GWh,2014,0
libya,electricity indicators,Losses,GWh,2014,26297
libya,electricity indicators,Final electricity consumption,GWh,2014,10890
libya,electricity indicators,Electricity consumption per capita,kWh,2014,1739.616613
libya,electricity indicators,Cost of electricity,$/kWh,2014,
libya,electricity indicators,Electricity price,$/kWh,2014,
libya,electricity indicators,Electricity Generation - Crude Oil and Oil Products,%,2014,46.2987994
libya,electricity indicators,Electricity Generation - Natural Gas,%,2014,53.7012006
libya,electricity indicators,Electricity Generation - Coal,%,2014,0
libya,electricity indicators,Electricity Generation - Nuclear,%,2014,0
libya,electricity indicators,Electricity Generation - Renewables,%,2014,0
libya,electricity indicators,Electricity Generation - Solar,%,2014,0
libya,electricity indicators,Electricity Generation - Wind,%,2014,0
libya,electricity indicators,Electricity Generation - Hydropower,%,2014,0
libya,electricity indicators,Electricity Generation - Other,%,2014,0
libya,electricity indicators,Access to Electricity,%,2013,98.5
libya,electricity indicators,Total installed generation capacity,MW,2013,9455
libya,electricity indicators,Total generated electricity,GWh,2013,37913
libya,electricity indicators,Electricty imports,GWh,2013,64
libya,electricity indicators,Electricity exports,GWh,2013,1
libya,electricity indicators,Losses,GWh,2013,23309
libya,electricity indicators,Final electricity consumption,GWh,2013,14066
libya,electricity indicators,Electricity consumption per capita,kWh,2013,2243.38118
libya,electricity indicators,Cost of electricity,$/kWh,2013,
libya,electricity indicators,Electricity price,$/kWh,2013,0.02
libya,electricity indicators,Electricity Generation - Crude Oil and Oil Products,%,2013,41.61633213
libya,electricity indicators,Electricity Generation - Natural Gas,%,2013,58.38366787
libya,electricity indicators,Electricity Generation - Coal,%,2013,0
libya,electricity indicators,Electricity Generation - Nuclear,%,2013,0
libya,electricity indicators,Electricity Generation - Renewables,%,2013,0
libya,electricity indicators,Electricity Generation - Solar,%,2013,0
libya,electricity indicators,Electricity Generation - Wind,%,2013,0
libya,electricity indicators,Electricity Generation - Hydropower,%,2013,0
libya,electricity indicators,Electricity Generation - Other,%,2013,0
libya,electricity indicators,Access to Electricity,%,2012,98.6
libya,electricity indicators,Total installed generation capacity,MW,2012,8788
libya,electricity indicators,Total generated electricity,GWh,2012,34275
libya,electricity indicators,Electricty imports,GWh,2012,61
libya,electricity indicators,Electricity exports,GWh,2012,14
libya,electricity indicators,Losses,GWh,2012,20234
libya,electricity indicators,Final electricity consumption,GWh,2012,12994
libya,electricity indicators,Electricity consumption per capita,kWh,2012,2069.10828
libya,electricity indicators,Cost of electricity,$/kWh,2012,
libya,electricity indicators,Electricity price,$/kWh,2012,
libya,electricity indicators,Electricity Generation - Crude Oil and Oil Products,%,2012,39.52443472
libya,electricity indicators,Electricity Generation - Natural Gas,%,2012,60.47556528
libya,electricity indicators,Electricity Generation - Coal,%,2012,0
libya,electricity indicators,Electricity Generation - Nuclear,%,2012,0
libya,electricity indicators,Electricity Generation - Renewables,%,2012,0
libya,electricity indicators,Electricity Generation - Solar,%,2012,0
libya,electricity indicators,Electricity Generation - Wind,%,2012,0
libya,electricity indicators,Electricity Generation - Hydropower,%,2012,0
libya,electricity indicators,Electricity Generation - Other,%,2012,0
libya,electricity indicators,Access to Electricity,%,2011,98.6
libya,electricity indicators,Total installed generation capacity,MW,2011,8907
libya,electricity indicators,Total generated electricity,GWh,2011,25999
libya,electricity indicators,Electricty imports,GWh,2011,56
libya,electricity indicators,Electricity exports,GWh,2011,121
libya,electricity indicators,Losses,GWh,2011,8197
libya,electricity indicators,Final electricity consumption,GWh,2011,15808
libya,electricity indicators,Electricity consumption per capita,kWh,2011,2513.195548
libya,electricity indicators,Cost of electricity,$/kWh,2011,
libya,electricity indicators,Electricity price,$/kWh,2011,
libya,electricity indicators,Electricity Generation - Crude Oil and Oil Products,%,2011,40.19000731
libya,electricity indicators,Electricity Generation - Natural Gas,%,2011,59.80999269
libya,electricity indicators,Electricity Generation - Coal,%,2011,0
libya,electricity indicators,Electricity Generation - Nuclear,%,2011,0
libya,electricity indicators,Electricity Generation - Renewables,%,2011,0
libya,electricity indicators,Electricity Generation - Solar,%,2011,0
libya,electricity indicators,Electricity Generation - Wind,%,2011,0
libya,electricity indicators,Electricity Generation - Hydropower,%,2011,0
libya,electricity indicators,Electricity Generation - Other,%,2011,0
libya,electricity indicators,Access to Electricity,%,2010,98.7
libya,electricity indicators,Total installed generation capacity,MW,2010,8349
libya,electricity indicators,Total generated electricity,GWh,2010,32558
libya,electricity indicators,Electricty imports,GWh,2010,70
libya,electricity indicators,Electricity exports,GWh,2010,152
libya,electricity indicators,Losses,GWh,2010,11641
libya,electricity indicators,Final electricity consumption,GWh,2010,19796
libya,electricity indicators,Electricity consumption per capita,kWh,2010,3157.256778
libya,electricity indicators,Cost of electricity,$/kWh,2010,
libya,electricity indicators,Electricity price,$/kWh,2010,
libya,electricity indicators,Electricity Generation - Crude Oil and Oil Products,%,2010,52.87179802
libya,electricity indicators,Electricity Generation - Natural Gas,%,2010,47.12820198
libya,electricity indicators,Electricity Generation - Coal,%,2010,0
libya,electricity indicators,Electricity Generation - Nuclear,%,2010,0
libya,electricity indicators,Electricity Generation - Renewables,%,2010,0
libya,electricity indicators,Electricity Generation - Solar,%,2010,0
libya,electricity indicators,Electricity Generation - Wind,%,2010,0
libya,electricity indicators,Electricity Generation - Hydropower,%,2010,0
libya,electricity indicators,Electricity Generation - Other,%,2010,0
libya,energy efficiency indicators,RISE score,/100,2017,
libya,energy efficiency indicators,RISE energy efficiency score,/100,2017,
libya,energy efficiency indicators,Energy efficiency potential,% of TPES,2017,
libya,energy efficiency indicators,Energy efficiency potential - Electricity sector,% of EE potential,2017,
libya,energy efficiency indicators,Energy efficiency potential - Residential Sector,% of EE potential,2017,
libya,energy efficiency indicators,Energy efficiency potential - Industry Sector,% of EE potential,2017,
libya,energy efficiency indicators,Energy efficiency potential - Transport Sector,% of EE potential,2017,
libya,energy efficiency indicators,Energy efficiency potential - Services Sector,% of EE potential,2017,
libya,energy efficiency indicators,RISE score,/100,2016,
libya,energy efficiency indicators,RISE energy efficiency score,/100,2016,
libya,energy efficiency indicators,Energy efficiency potential,% of TPES,2016,
libya,energy efficiency indicators,Energy efficiency potential - Electricity sector,% of EE potential,2016,
libya,energy efficiency indicators,Energy efficiency potential - Residential Sector,% of EE potential,2016,
libya,energy efficiency indicators,Energy efficiency potential - Industry Sector,% of EE potential,2016,
libya,energy efficiency indicators,Energy efficiency potential - Transport Sector,% of EE potential,2016,
libya,energy efficiency indicators,Energy efficiency potential - Services Sector,% of EE potential,2016,
libya,energy efficiency indicators,RISE score,/100,2015,
libya,energy efficiency indicators,RISE energy efficiency score,/100,2015,
libya,energy efficiency indicators,Energy efficiency potential,% of TPES,2015,
libya,energy efficiency indicators,Energy efficiency potential - Electricity sector,% of EE potential,2015,
libya,energy efficiency indicators,Energy efficiency potential - Residential Sector,% of EE potential,2015,
libya,energy efficiency indicators,Energy efficiency potential - Industry Sector,% of EE potential,2015,
libya,energy efficiency indicators,Energy efficiency potential - Transport Sector,% of EE potential,2015,
libya,energy efficiency indicators,Energy efficiency potential - Services Sector,% of EE potential,2015,
libya,energy efficiency indicators,RISE score,/100,2014,
libya,energy efficiency indicators,RISE energy efficiency score,/100,2014,
libya,energy efficiency indicators,Energy efficiency potential,% of TPES,2014,
libya,energy efficiency indicators,Energy efficiency potential - Electricity sector,% of EE potential,2014,
libya,energy efficiency indicators,Energy efficiency potential - Residential Sector,% of EE potential,2014,
libya,energy efficiency indicators,Energy efficiency potential - Industry Sector,% of EE potential,2014,
libya,energy efficiency indicators,Energy efficiency potential - Transport Sector,% of EE potential,2014,
libya,energy efficiency indicators,Energy efficiency potential - Services Sector,% of EE potential,2014,
libya,energy efficiency indicators,RISE score,/100,2013,
libya,energy efficiency indicators,RISE energy efficiency score,/100,2013,
libya,energy efficiency indicators,Energy efficiency potential,% of TPES,2013,
libya,energy efficiency indicators,Energy efficiency potential - Electricity sector,% of EE potential,2013,
libya,energy efficiency indicators,Energy efficiency potential - Residential Sector,% of EE potential,2013,
libya,energy efficiency indicators,Energy efficiency potential - Industry Sector,% of EE potential,2013,
libya,energy efficiency indicators,Energy efficiency potential - Transport Sector,% of EE potential,2013,
libya,energy efficiency indicators,Energy efficiency potential - Services Sector,% of EE potential,2013,
libya,energy efficiency indicators,RISE score,/100,2012,
libya,energy efficiency indicators,RISE energy efficiency score,/100,2012,
libya,energy efficiency indicators,Energy efficiency potential,% of TPES,2012,
libya,energy efficiency indicators,Energy efficiency potential - Electricity sector,% of EE potential,2012,
libya,energy efficiency indicators,Energy efficiency potential - Residential Sector,% of EE potential,2012,
libya,energy efficiency indicators,Energy efficiency potential - Industry Sector,% of EE potential,2012,
libya,energy efficiency indicators,Energy efficiency potential - Transport Sector,% of EE potential,2012,
libya,energy efficiency indicators,Energy efficiency potential - Services Sector,% of EE potential,2012,
libya,energy efficiency indicators,RISE score,/100,2011,
libya,energy efficiency indicators,RISE energy efficiency score,/100,2011,
libya,energy efficiency indicators,Energy efficiency potential,% of TPES,2011,
libya,energy efficiency indicators,Energy efficiency potential - Electricity sector,% of EE potential,2011,
libya,energy efficiency indicators,Energy efficiency potential - Residential Sector,% of EE potential,2011,
libya,energy efficiency indicators,Energy efficiency potential - Industry Sector,% of EE potential,2011,
libya,energy efficiency indicators,Energy efficiency potential - Transport Sector,% of EE potential,2011,
libya,energy efficiency indicators,Energy efficiency potential - Services Sector,% of EE potential,2011,
libya,energy efficiency indicators,RISE score,/100,2010,
libya,energy efficiency indicators,RISE energy efficiency score,/100,2010,
libya,energy efficiency indicators,Energy efficiency potential,% of TPES,2010,
libya,energy efficiency indicators,Energy efficiency potential - Electricity sector,% of EE potential,2010,
libya,energy efficiency indicators,Energy efficiency potential - Residential Sector,% of EE potential,2010,
libya,energy efficiency indicators,Energy efficiency potential - Industry Sector,% of EE potential,2010,
libya,energy efficiency indicators,Energy efficiency potential - Transport Sector,% of EE potential,2010,
libya,energy efficiency indicators,Energy efficiency potential - Services Sector,% of EE potential,2010,
morocco,economic indicators,GDP,US $B,2017,
morocco,economic indicators,GDP based on PPP,Int. $B,2017,
morocco,economic indicators,Real GDP growth,%,2017,
morocco,economic indicators,GDP per capita,US $,2017,
morocco,economic indicators,GDP per capita based on PPP,Int. $B,2017,
morocco,economic indicators,Population,million,2017,
morocco,economic indicators,Land Area,sq.km,2017,
morocco,economic indicators,Human Development Index,,2017,
morocco,economic indicators,Inflation rate,%,2017,
morocco,economic indicators,Unemployment rate,%,2017,
morocco,economic indicators,Current account balance,US $B,2017,
morocco,economic indicators,Government Gross Debt (share of GDP),%,2017,
morocco,economic indicators,International Reserves,US $B,2017,
morocco,economic indicators,CO2 emissions intensity,kg/$1000 of GDP,2017,
morocco,economic indicators,CO2 emissions per capita,metric tons,2017,
morocco,economic indicators,GDP,US $B,2016,104.91
morocco,economic indicators,GDP based on PPP,Int. $B,2016,282.78
morocco,economic indicators,Real GDP growth,%,2016,1.8
morocco,economic indicators,GDP per capita,US $,2016,3101
morocco,economic indicators,GDP per capita based on PPP,Int. $B,2016,8360
morocco,economic indicators,Population,million,2016,34.82
morocco,economic indicators,Land Area,sq.km,2016,446300
morocco,economic indicators,Human Development Index,,2016,
morocco,economic indicators,Inflation rate,%,2016,1.3
morocco,economic indicators,Unemployment rate,%,2016,10.2
morocco,economic indicators,Current account balance,US $B,2016,-1.3
morocco,economic indicators,Government Gross Debt (share of GDP),%,2016,64.4
morocco,economic indicators,International Reserves,US $B,2016,
morocco,economic indicators,CO2 emissions intensity,kg/$1000 of GDP,2016,
morocco,economic indicators,CO2 emissions per capita,metric tons,2016,
morocco,economic indicators,GDP,US $B,2015,100.59
morocco,economic indicators,GDP based on PPP,Int. $B,2015,274.06
morocco,economic indicators,Real GDP growth,%,2015,4.5
morocco,economic indicators,GDP per capita,US $,2015,3003
morocco,economic indicators,GDP per capita based on PPP,Int. $B,2015,8180
morocco,economic indicators,Population,million,2015,34.38
morocco,economic indicators,Land Area,sq.km,2015,446300
morocco,economic indicators,Human Development Index,,2015,
morocco,economic indicators,Inflation rate,%,2015,1.5
morocco,economic indicators,Unemployment rate,%,2015,9.7
morocco,economic indicators,Current account balance,US $B,2015,-1.9
morocco,economic indicators,Government Gross Debt (share of GDP),%,2015,64.1
morocco,economic indicators,International Reserves,US $B,2015,23
morocco,economic indicators,CO2 emissions intensity,kg/$1000 of GDP,2015,230.29
morocco,economic indicators,CO2 emissions per capita,metric tons,2015,1.72
morocco,economic indicators,GDP,US $B,2014,109.88
morocco,economic indicators,GDP based on PPP,Int. $B,2014,259.45
morocco,economic indicators,Real GDP growth,%,2014,2.6
morocco,economic indicators,GDP per capita,US $,2014,3312
morocco,economic indicators,GDP per capita based on PPP,Int. $B,2014,7820
morocco,economic indicators,Population,million,2014,33.92
morocco,economic indicators,Land Area,sq.km,2014,446300
morocco,economic indicators,Human Development Index,,2014,0.63
morocco,economic indicators,Inflation rate,%,2014,0.4
morocco,economic indicators,Unemployment rate,%,2014,9.9
morocco,economic indicators,Current account balance,US $B,2014,-6.2
morocco,economic indicators,Government Gross Debt (share of GDP),%,2014,63.5
morocco,economic indicators,International Reserves,US $B,2014,20.53
morocco,economic indicators,CO2 emissions intensity,kg/$1000 of GDP,2014,236.96
morocco,economic indicators,CO2 emissions per capita,metric tons,2014,1.72
morocco,economic indicators,GDP,US $B,2013,106.83
morocco,economic indicators,GDP based on PPP,Int. $B,2013,248.54
morocco,economic indicators,Real GDP growth,%,2013,4.5
morocco,economic indicators,GDP per capita,US $,2013,3252
morocco,economic indicators,GDP per capita based on PPP,Int. $B,2013,7565
morocco,economic indicators,Population,million,2013,33.45
morocco,economic indicators,Land Area,sq.km,2013,446300
morocco,economic indicators,Human Development Index,,2013,0.62
morocco,economic indicators,Inflation rate,%,2013,1.9
morocco,economic indicators,Unemployment rate,%,2013,9.2
morocco,economic indicators,Current account balance,US $B,2013,-8.1
morocco,economic indicators,Government Gross Debt (share of GDP),%,2013,61.7
morocco,economic indicators,International Reserves,US $B,2013,19.05
morocco,economic indicators,CO2 emissions intensity,kg/$1000 of GDP,2013,227.08
morocco,economic indicators,CO2 emissions per capita,metric tons,2013,1.63
morocco,economic indicators,GDP,US $B,2012,98.27
morocco,economic indicators,GDP based on PPP,Int. $B,2012,233.98
morocco,economic indicators,Real GDP growth,%,2012,3
morocco,economic indicators,GDP per capita,US $,2012,3022
morocco,economic indicators,GDP per capita based on PPP,Int. $B,2012,7195
morocco,economic indicators,Population,million,2012,32.98
morocco,economic indicators,Land Area,sq.km,2012,446300
morocco,economic indicators,Human Development Index,,2012,0.61
morocco,economic indicators,Inflation rate,%,2012,1.3
morocco,economic indicators,Unemployment rate,%,2012,9
morocco,economic indicators,Current account balance,US $B,2012,-9.2
morocco,economic indicators,Government Gross Debt (share of GDP),%,2012,58.3
morocco,economic indicators,International Reserves,US $B,2012,17.39
morocco,economic indicators,CO2 emissions intensity,kg/$1000 of GDP,2012,241.93
morocco,economic indicators,CO2 emissions per capita,metric tons,2012,1.69
morocco,economic indicators,GDP,US $B,2011,101.37
morocco,economic indicators,GDP based on PPP,Int. $B,2011,223.04
morocco,economic indicators,Real GDP growth,%,2011,5.2
morocco,economic indicators,GDP per capita,US $,2011,3149
morocco,economic indicators,GDP per capita based on PPP,Int. $B,2011,6929
morocco,economic indicators,Population,million,2011,32.53
morocco,economic indicators,Land Area,sq.km,2011,446300
morocco,economic indicators,Human Development Index,,2011,0.61
morocco,economic indicators,Inflation rate,%,2011,0.9
morocco,economic indicators,Unemployment rate,%,2011,8.9
morocco,economic indicators,Current account balance,US $B,2011,-7.7
morocco,economic indicators,Government Gross Debt (share of GDP),%,2011,52.5
morocco,economic indicators,International Reserves,US $B,2011,20.42
morocco,economic indicators,CO2 emissions intensity,kg/$1000 of GDP,2011,245.39
morocco,economic indicators,CO2 emissions per capita,metric tons,2011,1.68
morocco,economic indicators,GDP,US $B,2010,93.22
morocco,economic indicators,GDP based on PPP,Int. $B,2010,207.63
morocco,economic indicators,Real GDP growth,%,2010,3.8
morocco,economic indicators,GDP per capita,US $,2010,2927
morocco,economic indicators,GDP per capita based on PPP,Int. $B,2010,6519
morocco,economic indicators,Population,million,2010,32.11
morocco,economic indicators,Land Area,sq.km,2010,446300
morocco,economic indicators,Human Development Index,,2010,0.6
morocco,economic indicators,Inflation rate,%,2010,1
morocco,economic indicators,Unemployment rate,%,2010,9.1
morocco,economic indicators,Current account balance,US $B,2010,-4.1
morocco,economic indicators,Government Gross Debt (share of GDP),%,2010,49
morocco,economic indicators,International Reserves,US $B,2010,23.96
morocco,economic indicators,CO2 emissions intensity,kg/$1000 of GDP,2010,241.47
morocco,economic indicators,CO2 emissions per capita,metric tons,2010,1.59
morocco,energy indicators,Gross energy production,ktoe,2017,
morocco,energy indicators,Gross energy production - Crude Oil and Oil Products,%,2017,
morocco,energy indicators,Gross energy production - Natural Gas,%,2017,
morocco,energy indicators,Gross energy production - Coal,%,2017,
morocco,energy indicators,Gross energy production - Nuclear,%,2017,
morocco,energy indicators,Gross energy production - Renewables,%,2017,
morocco,energy indicators,Gross energy production - Solar,%,2017,
morocco,energy indicators,Gross energy production - Wind,%,2017,
morocco,energy indicators,Gross energy production - Hydropower,%,2017,
morocco,energy indicators,Gross energy production - Other,%,2017,
morocco,energy indicators,Total energy export,ktoe,2017,
morocco,energy indicators,Total energy export - Crude Oil and Oil Products,%,2017,
morocco,energy indicators,Total energy export - Natural Gas,%,2017,
morocco,energy indicators,Total energy export - Coal,%,2017,
morocco,energy indicators,Total energy export - Electricity,%,2017,
morocco,energy indicators,Total energy import,ktoe,2017,
morocco,energy indicators,Total energy import- Crude Oil and Oil Products,%,2017,
morocco,energy indicators,Total energy import - Natural Gas,%,2017,
morocco,energy indicators,Total energy import - Coal,%,2017,
morocco,energy indicators,Total energy import - Electricity,%,2017,
morocco,energy indicators,Total primary energy supply (TPES),ktoe,2017,
morocco,energy indicators,Primary energy supply per capita,toe,2017,
morocco,energy indicators,Energy productivity,$/kgoe,2017,
morocco,energy indicators,Energy subsidies,$B,2017,
morocco,energy indicators,Final energy consumption,ktoe,2017,
morocco,energy indicators,Final energy consumption - Crude Oil and Oil Products,%,2017,
morocco,energy indicators,Final energy consumption - Natural Gas,%,2017,
morocco,energy indicators,Final energy consumption - Coal,%,2017,
morocco,energy indicators,Final energy consumption - Electricity,%,2017,
morocco,energy indicators,Final energy consumption - Other,%,2017,
morocco,energy indicators,Energy use per capita,toe,2017,
morocco,energy indicators,Energy use by Sector - Industry,%,2017,
morocco,energy indicators,Energy use by Sector - Transport,%,2017,
morocco,energy indicators,Energy use by Sector - Residential,%,2017,
morocco,energy indicators,Energy use by Sector - Tertiary,%,2017,
morocco,energy indicators,Energy use by Sector - Agricultural & Fishing,%,2017,
morocco,energy indicators,Energy use by Sector - Other,%,2017,
morocco,energy indicators,Gross energy production,ktoe,2016,
morocco,energy indicators,Gross energy production - Crude Oil and Oil Products,%,2016,
morocco,energy indicators,Gross energy production - Natural Gas,%,2016,
morocco,energy indicators,Gross energy production - Coal,%,2016,
morocco,energy indicators,Gross energy production - Nuclear,%,2016,
morocco,energy indicators,Gross energy production - Renewables,%,2016,
morocco,energy indicators,Gross energy production - Solar,%,2016,
morocco,energy indicators,Gross energy production - Wind,%,2016,
morocco,energy indicators,Gross energy production - Hydropower,%,2016,
morocco,energy indicators,Gross energy production - Other,%,2016,
morocco,energy indicators,Total energy export,ktoe,2016,
morocco,energy indicators,Total energy export - Crude Oil and Oil Products,%,2016,
morocco,energy indicators,Total energy export - Natural Gas,%,2016,
morocco,energy indicators,Total energy export - Coal,%,2016,
morocco,energy indicators,Total energy export - Electricity,%,2016,
morocco,energy indicators,Total energy import,ktoe,2016,
morocco,energy indicators,Total energy import- Crude Oil and Oil Products,%,2016,
morocco,energy indicators,Total energy import - Natural Gas,%,2016,
morocco,energy indicators,Total energy import - Coal,%,2016,
morocco,energy indicators,Total energy import - Electricity,%,2016,
morocco,energy indicators,Total primary energy supply (TPES),ktoe,2016,
morocco,energy indicators,Primary energy supply per capita,toe,2016,
morocco,energy indicators,Energy productivity,$/kgoe,2016,
morocco,energy indicators,Energy subsidies,$B,2016,
morocco,energy indicators,Final energy consumption,ktoe,2016,
morocco,energy indicators,Final energy consumption - Crude Oil and Oil Products,%,2016,
morocco,energy indicators,Final energy consumption - Natural Gas,%,2016,
morocco,energy indicators,Final energy consumption - Coal,%,2016,
morocco,energy indicators,Final energy consumption - Electricity,%,2016,
morocco,energy indicators,Final energy consumption - Other,%,2016,
morocco,energy indicators,Energy use per capita,toe,2016,
morocco,energy indicators,Energy use by Sector - Industry,%,2016,
morocco,energy indicators,Energy use by Sector - Transport,%,2016,
morocco,energy indicators,Energy use by Sector - Residential,%,2016,
morocco,energy indicators,Energy use by Sector - Tertiary,%,2016,
morocco,energy indicators,Energy use by Sector - Agricultural & Fishing,%,2016,
morocco,energy indicators,Energy use by Sector - Other,%,2016,
morocco,energy indicators,Gross energy production,ktoe,2015,
morocco,energy indicators,Gross energy production - Crude Oil and Oil Products,%,2015,
morocco,energy indicators,Gross energy production - Natural Gas,%,2015,
morocco,energy indicators,Gross energy production - Coal,%,2015,
morocco,energy indicators,Gross energy production - Nuclear,%,2015,
morocco,energy indicators,Gross energy production - Renewables,%,2015,
morocco,energy indicators,Gross energy production - Solar,%,2015,
morocco,energy indicators,Gross energy production - Wind,%,2015,
morocco,energy indicators,Gross energy production - Hydropower,%,2015,
morocco,energy indicators,Gross energy production - Other,%,2015,
morocco,energy indicators,Total energy export,ktoe,2015,
morocco,energy indicators,Total energy export - Crude Oil and Oil Products,%,2015,
morocco,energy indicators,Total energy export - Natural Gas,%,2015,
morocco,energy indicators,Total energy export - Coal,%,2015,
morocco,energy indicators,Total energy export - Electricity,%,2015,
morocco,energy indicators,Total energy import,ktoe,2015,
morocco,energy indicators,Total energy import- Crude Oil and Oil Products,%,2015,
morocco,energy indicators,Total energy import - Natural Gas,%,2015,
morocco,energy indicators,Total energy import - Coal,%,2015,
morocco,energy indicators,Total energy import - Electricity,%,2015,
morocco,energy indicators,Total primary energy supply (TPES),ktoe,2015,
morocco,energy indicators,Primary energy supply per capita,toe,2015,
morocco,energy indicators,Energy productivity,$/kgoe,2015,
morocco,energy indicators,Energy subsidies,$B,2015,1.956827939
morocco,energy indicators,Final energy consumption,ktoe,2015,
morocco,energy indicators,Final energy consumption - Crude Oil and Oil Products,%,2015,
morocco,energy indicators,Final energy consumption - Natural Gas,%,2015,
morocco,energy indicators,Final energy consumption - Coal,%,2015,
morocco,energy indicators,Final energy consumption - Electricity,%,2015,
morocco,energy indicators,Final energy consumption - Other,%,2015,
morocco,energy indicators,Energy use per capita,toe,2015,
morocco,energy indicators,Energy use by Sector - Industry,%,2015,
morocco,energy indicators,Energy use by Sector - Transport,%,2015,
morocco,energy indicators,Energy use by Sector - Residential,%,2015,
morocco,energy indicators,Energy use by Sector - Tertiary,%,2015,
morocco,energy indicators,Energy use by Sector - Agricultural & Fishing,%,2015,
morocco,energy indicators,Energy use by Sector - Other,%,2015,
morocco,energy indicators,Gross energy production,ktoe,2014,1761.132
morocco,energy indicators,Gross energy production - Crude Oil and Oil Products,%,2014,0.264034723
morocco,energy indicators,Gross energy production - Natural Gas,%,2014,4.80162759
morocco,energy indicators,Gross energy production - Coal,%,2014,0
morocco,energy indicators,Gross energy production - Nuclear,%,2014,0
morocco,energy indicators,Gross energy production - Renewables,%,2014,94.93433769
morocco,energy indicators,Gross energy production - Solar,%,2014,0
morocco,energy indicators,Gross energy production - Wind,%,2014,9.395320737
morocco,energy indicators,Gross energy production - Hydropower,%,2014,7.993835783
morocco,energy indicators,Gross energy production - Other,%,2014,0
morocco,energy indicators,Total energy export,ktoe,2014,1215.443
morocco,energy indicators,Total energy export - Crude Oil and Oil Products,%,2014,99.09432199
morocco,energy indicators,Total energy export - Natural Gas,%,2014,0
morocco,energy indicators,Total energy export - Coal,%,2014,0
morocco,energy indicators,Total energy export - Electricity,%,2014,0.905678012
morocco,energy indicators,Total energy import,ktoe,2014,20741.17
morocco,energy indicators,Total energy import- Crude Oil and Oil Products,%,2014,72.2678036
morocco,energy indicators,Total energy import - Natural Gas,%,2014,4.443124472
morocco,energy indicators,Total energy import - Coal,%,2014,20.74405157
morocco,energy indicators,Total energy import - Electricity,%,2014,2.545025184
morocco,energy indicators,Total primary energy supply (TPES),ktoe,2014,18981.467
morocco,energy indicators,Primary energy supply per capita,toe,2014,0.559595136
morocco,energy indicators,Energy productivity,$/kgoe,2014,5.788804416
morocco,energy indicators,Energy subsidies,$B,2014,
morocco,energy indicators,Final energy consumption,ktoe,2014,14550.081
morocco,energy indicators,Final energy consumption - Crude Oil and Oil Products,%,2014,72.9450647
morocco,energy indicators,Final energy consumption - Natural Gas,%,2014,0.581185768
morocco,energy indicators,Final energy consumption - Coal,%,2014,0.117937488
morocco,energy indicators,Final energy consumption - Electricity,%,2014,17.02613202
morocco,energy indicators,Final energy consumption - Other,%,2014,9.32968002
morocco,energy indicators,Energy use per capita,toe,2014,0.42895286
morocco,energy indicators,Energy use by Sector - Industry,%,2014,20.96909976
morocco,energy indicators,Energy use by Sector - Transport,%,2014,34.42254376
morocco,energy indicators,Energy use by Sector - Residential,%,2014,25.39642219
morocco,energy indicators,Energy use by Sector - Tertiary,%,2014,9.166890549
morocco,energy indicators,Energy use by Sector - Agricultural & Fishing,%,2014,7.165760795
morocco,energy indicators,Energy use by Sector - Other,%,2014,2.87928294
